Algorithm,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8514136447449293,0.7345823575331772,0.6001275510204082,0.6605826605826606,0.9019485096670247
Decision Tree,0.8477258758451137,0.7095134350036311,0.6230867346938775,0.6634974533106961,0.8845680693836239
Random Forest,0.85079901659496,0.7266514806378133,0.6103316326530612,0.6634315424610052,0.8958227686317441
KNN,0.8274431468961279,0.660882140274765,0.5829081632653061,0.6194510335479498,0.8517083832520862
SVM,0.852181929932391,0.7475490196078431,0.5835459183673469,0.6554441260744985,0.8960308136412459
